estuary,experiment,shelled,complexity,field.site,region,distance,treatment,density,reef,id,distance3,time,nlives,dead,surv
apalachicola,1,no,low,w2,west,2,cage,1,37,960,0.585,3,1,0,1
apalachicola,1,no,low,w2,west,2,cage,1,42,910,0.585,3,1,0,1
apalachicola,1,no,low,w2,west,2,cage,1,43,969,0.585,3,1,0,1
apalachicola,1,no,low,w2,west,2,cage,3,39,981,0.585,3,3,0,1
apalachicola,1,no,low,w2,west,2,cage,3,41,943,0.585,3,3,0,1
apalachicola,1,no,low,w2,west,2,cage,3,45,908,0.585,3,3,0,1
apalachicola,1,no,low,w2,west,2,cage,5,38,928,0.585,3,4,1,0.8
apalachicola,1,no,low,w2,west,2,cage,5,40,995,0.585,3,5,0,1
apalachicola,1,no,low,w2,west,2,cage,5,44,975,0.585,3,4,1,0.8
apalachicola,1,no,low,w2,west,2,cage.control,5,38,711,0.585,3,1,4,0.2
apalachicola,1,no,low,w2,west,2,cage.control,5,40,709,0.585,3,1,4,0.2
apalachicola,1,no,low,w2,west,2,cage.control,5,44,728,0.585,3,4,1,0.8
apalachicola,1,no,low,w2,west,2,control,1,37,882,0.585,3,1,0,1
apalachicola,1,no,low,w2,west,2,control,1,42,895,0.585,3,0,1,0
apalachicola,1,no,low,w2,west,2,control,1,43,898,0.585,3,0,1,0
apalachicola,1,no,low,w2,west,2,control,3,39,883,0.585,3,2,1,0.666666667
apalachicola,1,no,low,w2,west,2,control,3,41,867,0.585,3,2,1,0.666666667
apalachicola,1,no,low,w2,west,2,control,3,45,894,0.585,3,2,1,0.666666667
apalachicola,1,no,low,w2,west,2,control,5,38,884,0.585,3,1,4,0.2
apalachicola,1,no,low,w2,west,2,control,5,40,132,0.585,3,1,4,0.2
apalachicola,1,no,low,w2,west,2,control,5,44,897,0.585,3,4,1,0.8
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,1,82,189,0.585.200.c,3,1,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,1,86,952,0.585.200.c,3,1,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,1,88,966,0.585.200.c,3,1,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,3,83,987,0.585.200.c,3,NA,NA,
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,3,85,920,0.585.200.c,3,3,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,3,90,986,0.585.200.c,3,NA,NA,
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,5,84,940,0.585.200.c,3,5,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,5,87,990,0.585.200.c,3,5,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,cage,5,89,926,0.585.200.c,3,NA,NA,
apalachicola,1,yes,moderate,w2.200.c,west,2,cage.control,5,84,719,0.585.200.c,3,4,1,0.8
apalachicola,1,yes,moderate,w2.200.c,west,2,cage.control,5,87,724,0.585.200.c,3,4,1,0.8
apalachicola,1,yes,moderate,w2.200.c,west,2,cage.control,5,89,715,0.585.200.c,3,NA,NA,
apalachicola,1,yes,moderate,w2.200.c,west,2,control,1,82,864,0.585.200.c,3,1,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,control,1,86,817,0.585.200.c,3,1,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,control,1,88,874,0.585.200.c,3,1,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,control,3,83,844,0.585.200.c,3,3,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,control,3,85,868,0.585.200.c,3,3,0,1
apalachicola,1,yes,moderate,w2.200.c,west,2,control,3,90,870,0.585.200.c,3,NA,NA,
apalachicola,1,yes,moderate,w2.200.c,west,2,control,5,84,836,0.585.200.c,3,3,2,0.6
apalachicola,1,yes,moderate,w2.200.c,west,2,control,5,87,818,0.585.200.c,3,3,2,0.6
apalachicola,1,yes,moderate,w2.200.c,west,2,control,5,89,858,0.585.200.c,3,4,1,0.8
apalachicola,1,yes,high,w2.400.c,west,2,cage,1,102,792,0.585.400.c,3,1,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,1,103,168,0.585.400.c,3,1,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,1,107,180,0.585.400.c,3,1,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,3,100,161,0.585.400.c,3,3,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,3,105,159,0.585.400.c,3,3,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,3,108,200,0.585.400.c,3,3,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,5,101,155,0.585.400.c,3,5,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,5,104,177,0.585.400.c,3,5,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage,5,106,162,0.585.400.c,3,5,0,1
apalachicola,1,yes,high,w2.400.c,west,2,cage.control,5,101,727,0.585.400.c,3,3,2,0.6
apalachicola,1,yes,high,w2.400.c,west,2,cage.control,5,104,720,0.585.400.c,3,4,1,0.8
apalachicola,1,yes,high,w2.400.c,west,2,cage.control,5,106,729,0.585.400.c,3,2,3,0.4
apalachicola,1,yes,high,w2.400.c,west,2,control,1,102,871,0.585.400.c,3,1,0,1
apalachicola,1,yes,high,w2.400.c,west,2,control,1,103,863,0.585.400.c,3,1,0,1
apalachicola,1,yes,high,w2.400.c,west,2,control,1,107,809,0.585.400.c,3,1,0,1
apalachicola,1,yes,high,w2.400.c,west,2,control,3,100,800,0.585.400.c,3,2,1,0.666666667
apalachicola,1,yes,high,w2.400.c,west,2,control,3,105,855,0.585.400.c,3,0,3,0
apalachicola,1,yes,high,w2.400.c,west,2,control,3,108,839,0.585.400.c,3,2,1,0.666666667
apalachicola,1,yes,high,w2.400.c,west,2,control,5,101,807,0.585.400.c,3,4,1,0.8
apalachicola,1,yes,high,w2.400.c,west,2,control,5,104,857,0.585.400.c,3,1,4,0.2
apalachicola,1,yes,high,w2.400.c,west,2,control,5,106,873,0.585.400.c,3,4,1,0.8
apalachicola,2,no,low,w2,west,2,cage,1,37,798,0.585,2,1,0,1
apalachicola,2,no,low,w2,west,2,cage,1,41,791,0.585,2,1,0,1
apalachicola,2,no,low,w2,west,2,cage,1,45,976,0.585,2,1,0,1
apalachicola,2,no,low,w2,west,2,cage,3,39,199,0.585,2,NA,NA,
apalachicola,2,no,low,w2,west,2,cage,3,40,923,0.585,2,3,0,1
apalachicola,2,no,low,w2,west,2,cage,3,43,732,0.585,2,3,0,1
apalachicola,2,no,low,w2,west,2,cage,5,38,154,0.585,2,5,0,1
apalachicola,2,no,low,w2,west,2,cage,5,42,913,0.585,2,5,0,1
apalachicola,2,no,low,w2,west,2,cage,5,44,177,0.585,2,5,0,1
apalachicola,2,no,low,w2,west,2,cage.control,5,38,781,0.585,2,1,4,0.2
apalachicola,2,no,low,w2,west,2,cage.control,5,42,722,0.585,2,2,3,0.4
apalachicola,2,no,low,w2,west,2,cage.control,5,44,778,0.585,2,1,4,0.2
apalachicola,2,no,low,w2,west,2,control,1,37,132,0.585,2,0,1,0
apalachicola,2,no,low,w2,west,2,control,1,41,846,0.585,2,0,1,0
apalachicola,2,no,low,w2,west,2,control,1,45,860,0.585,2,0,1,0
apalachicola,2,no,low,w2,west,2,control,3,39,865,0.585,2,1,2,0.333333333
apalachicola,2,no,low,w2,west,2,control,3,40,806,0.585,2,2,1,0.666666667
