month.harvest,year.harvest,estuary,region,distance,reef,complexity,reef.name,reef.type,transect,quadrat,species,live/newg,size.mm

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,14

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,23

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,26

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,18

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,11

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,9

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,11

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,20

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,23

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,10

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,24

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,24

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,22

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,19

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,24

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,28

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,8

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,8

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,6

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,8

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,13

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,35

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,7

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,11

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,6

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,8

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,12

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,live,11

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,newg,17

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,120,20,crvi,newg,20

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,49

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,43

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,25

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,28

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,25

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,14

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,9

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,25

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,31

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,32

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,44

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,29

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,22

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,17

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,32

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,78

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,36

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,35

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,79

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,31

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,28

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,34

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,31

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,36

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,34

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,5

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,58

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,25

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,80

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,36

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,11

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,37

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,12

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,90

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,70

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,80

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,47

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,48

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,84

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,52

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,37

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,68

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,78

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,33

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,29

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,45

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,9

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,86

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,63

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,30

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,34

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,35

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,57

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,30

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,63

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,63

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,79

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,55

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,29

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,52

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,36

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,46

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,52

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,48

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,64

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,37

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,53

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,37

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,57

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,61

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,83

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,29

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,55

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,28

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,73

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,24

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,63

7,2016,apalachicola ,west,2,1,moderate,w2.200r1,subtidal,0,5,crvi,live,77

