year.harv,shelled,site,reef.name,transect,quadrat,sample.wt,total.adults,total.spat,total.newg,total.oldg,adult.per.mass,spat.per.mass
2016,yes,w2.200,w2.200r1,120,20,3.28,3,25,2,6,0.914634146,7.62195122
2016,yes,w2.200,w2.200r1,0,5,7.42,128,18,24,17,17.25067385,2.425876011
2016,yes,w2.200,w2.200r1,240,10,6.94,58,13,6,7,8.357348703,1.873198847
2016,yes,w2.200,w2.200r1,120,5,5.76,110,13,20,3,19.09722222,2.256944444
2016,yes,w2.200,w2.200r1,120,10,11.5,195,18,35,22,16.95652174,1.565217391
2016,yes,w2.200,w2.200r1,0,15,7.57,16,8,10,3,2.113606341,1.05680317
2016,yes,w2.200,w2.200r1,240,20,10.25,246,31,71,34,24,3.024390244
2016,yes,w2.200,w2.200r1,240,15,4.43,79,5,13,19,17.83295711,1.128668172
2016,yes,w2.200,w2.200r1,0,20,2.11,18,3,2,3,8.530805687,1.421800948
2016,yes,w2.200,w2.200r4,240,5,6.46,38,13,4,5,5.882352941,2.012383901
2016,yes,w2.200,w2.200r4,0,10,3.04,33,5,1,3,10.85526316,1.644736842
2016,yes,w2.200,w2.200r4,120,15,2.25,25,3,6,8,11.11111111,1.333333333
2016,yes,w2.400,w2.400r2,120,20,1.76,6,13,7,1,3.409090909,7.386363636
2016,yes,w2.400,w2.400r5,120,15,5.48,62,11,19,21,11.31386861,2.00729927
2016,yes,w2.400,w2.400r5,0,10,2.47,9,19,8,4,3.643724696,7.692307692
2016,yes,w2.400,w2.400r5,120,15,0.81,4,2,1,1,4.938271605,2.469135802
2016,yes,w2.400,w2.400r5,120,10,2.7,20,3,4,1,7.407407407,1.111111111
2016,yes,w2.400,w2.400r5,240,15,7.68,80,20,27,40,10.41666667,2.604166667
2016,yes,w2.400,w2.400r5,0,20,3.3,4,12,14,6,1.212121212,3.636363636
2016,yes,w2.400,w2.400r5,0,5,8.98,12,17,11,2,1.336302895,1.893095768
2016,yes,w2.400,w2.400r5,0,15,8.64,3,11,2,1,0.347222222,1.273148148
2016,yes,w2.400,w2.400r5,240,10,9.85,37,25,17,11,3.756345178,2.538071066
2016,yes,w2.400,w2.400r5,240,20,4.56,40,33,30,8,8.771929825,7.236842105
2016,yes,w2.400,w2.400r5,240,5,7.85,95,20,29,22,12.10191083,2.547770701
2016,no,w2,w2r1,240,20,1.06,0,0,0,0,0,0
2016,no,w2,w2r1,240,15,1.21,0,0,0,0,0,0
2016,no,w2,w2r1,120,5,1.69,0,0,0,0,0,0
2016,no,w2,w2r1,0,5,0,0,0,0,0,0,0
2016,no,w2,w2r1,0,10,0,0,0,0,0,0,0
2016,no,w2,w2r1,0,15,0,0,0,0,0,0,0
2016,no,w2,w2r1,0,20,0,0,0,0,0,0,0
2016,no,w2,w2r1,120,10,0,0,0,0,0,0,0
2016,no,w2,w2r1,120,15,0,0,0,0,0,0,0
2016,no,w2,w2r1,120,20,0,0,0,0,0,0,0
2016,no,w2,w2r1,240,10,0,0,0,0,0,0,0
2016,no,w2,w2r1,240,5,0,0,0,0,0,0,0
2016,no,w2,w2r2,240,15,9.59,8,3,3,1,0.834202294,0.31282586
2016,no,w2,w2r2,0,10,2.47,0,0,1,1,0,0
2016,no,w2,w2r2,120,15,1.8,0,0,0,1,0,0
2016,no,w2,w2r2,120,20,1.36,0,0,0,1,0,0
2016,no,w2,w2r2,120,10,1.5,0,1,1,2,0,0.666666667
2016,no,w2,w2r2,240,20,1.09,0,1,0,1,0,0.917431193
2016,no,w2,w2r2,240,5,0.99,0,0,0,0,0,0
2016,no,w2,w2r2,240,15,1.09,0,0,0,1,0,0
2016,no,w2,w2r2,240,10,1.09,0,1,0,0,0,0.917431193
2016,no,w2,w2r2,0,15,1.02,0,1,0,0,0,0.980392157
2016,no,w2,w2r2,0,5,2.04,0,1,0,0,0,0.490196078
2016,no,w2,w2r2,0,20,0.85,0,0,1,0,0,0
2016,no,w2,w2r3,0,20,2.22,0,1,1,1,0,0.45045045
2016,no,w2,w2r3,120,5,1.66,0,1,0,1,0,0.602409639
2016,no,w2,w2r3,120,10,2.76,0,1,0,2,0,0.362318841
2016,no,w2,w2r3,120,15,1.01,0,2,1,0,0,1.98019802
2016,no,w2,w2r3,0,5,1.27,0,0,1,0,0,0
2016,no,w2,w2r3,240,20,0.77,0,0,0,0,0,0
2016,no,w2,w2r3,0,15,2.15,1,0,0,2,0.465116279,0
2016,no,w2,w2r3,240,15,1.17,0,0,0,0,0,0
2016,no,w2,w2r3,240,5,1.63,0,0,0,0,0,0
2016,no,w2,w2r3,120,20,0.66,0,2,0,0,0,3.03030303
2016,no,w2,w2r3,0,10,1.84,0,6,3,1,0,3.260869565
2016,no,w2,w2r3,240,10,2.05,0,0,0,0,0,0
